Location_Code,Field_ID,Date,Depth,Domain,Arsenic
BH04,BH04A_0.2,43655,0.2,Natural,<2
BH05,BH05_0.2,43655,0.2,Natural,<5
BH07,BH07_0.2,43655,0.2,Natural,2.7
BH07,BH07_0.3,43655,0.3,Natural,<5
BH09,BH09_0.2,43655,0.2,Natural,<2
BH15,BH15_0.5,43656,0.5,Natural,2.6
BH17,BH17_0.4,43656,0.4,Natural,7.1
BH19,BH19_0.6,43656,0.6,Natural,77
BH102-0.5,BH102-0.5,44795,0.5,Natural,42
BH104-1.0,BH104-1.0,44795,1,Natural,4.1
BH105-0.8,BH105-0.8,44796,0.8,Natural,6.4
GW04,GW04_0.4-0.5,45590,0.45,Natural,6.3
GW09,GW09_0.4-0.5,45589,0.45,Natural,74
TBH01,TBH01_0.5,43655,0.5,Natural,5.8
TBH02,TBH02_0.5,43655,0.5,Natural,2.8
TBH06,TBH06_0.2,43655,0.2,Natural,23
TBH07,TBH07_0.2,43655,0.2,Natural,97
TP21,TP21_0.1,45582,0.1,Natural,15
TP22,TP22_0.1,45582,0.1,Natural,4.2
TP24,TP24_0.5,45581,0.5,Natural,450
TP26,TP26_0.1,45582,0.1,Natural,160
TP26,TP26_0.4-0.5,45582,0.45,Natural,3.5
TP27,TP27_0.1,45582,0.1,Natural,8.9
TP28,TP28_0.1,45582,0.1,Natural,69
TP31,TP31_0.1,45586,0.1,Natural,59
TP34,TP34_0.4-0.5,45582,0.45,Natural,12
TP35,TP35_0.4-0.5,45582,0.45,Natural,8
TP36,TP36_0.1,45586,0.1,Natural,7.9
TP41,TP41_0.1,45586,0.1,Natural,15
TP51,TP51_0.1,45587,0.1,Natural,2.2
TP51,TP51_0.5,,0.5,Natural,18
TP56,TP56_0.15,45587,0.15,Natural,2.7
TP61,TP61_0.5,45588,0.5,Natural,15
TP71,TP71_0.5,45589,0.5,Natural,48
TP75,TP75_0.5,45590,0.5,Natural,21
TP84,TP84_0.5,45589,0.5,Natural,26
TP91,TP91_0.1,45587,0.1,Natural,53
TP91,TP91_0.5,45587,0.5,Natural,13
TP94,TP94_0.1,45581,0.1,Natural,96
TP94,TP94_0.5,45581,0.5,Natural,7.3
TP97,TP97_0.5,45589,0.5,Natural,2.3
TP100,TP100_0.5,45589,0.5,Natural,23
TP106,TP106_0.62,45595,0.62,Natural,4.1
