Location_Code,Field_ID,Depth,d,Domain,Sample_Type,Lab_Report_Number,Arsenic,Nickel,Zinc,C10-C36,BaP
BH01,BH01_0.2,0.2,Natural ,Natural ,Normal,665531,<2,6.2,6.9,,
BH02,BH02_0.2,0.2,Natural ,Natural ,Normal,665531,7,14,8.9,,
BH03,BH03_0.2,0.2,Natural ,Natural ,Normal,665531,10,25,12,,
BH03,BH04A_0.2,0.2,Natural ,Natural ,Normal,665531,2.6,77,29,<50,<0.5
BH05,BH05_0.2,0.2,Natural ,Natural ,Normal,665531,7.1,40,25,<50,<0.5
BH07,BH07_0.2,0.2,Natural ,Natural ,Normal,665531,77,17,44,<50,<0.5
BH07,BH07_0.3,0.3,Natural ,Natural ,Normal,665531,13,17,9.2,,
BH09,BH09_0.2,0.2,Natural ,Natural ,Normal,665531,96,26,57,,
BH09,BH10_0.5,0.5,Natural ,Natural ,Normal,665531,4.2,29,12,,
BH09,BH11_0.4,0.4,Natural ,Natural ,Normal,665531,11,17,8.4,,
BH12,BH12_0.2,0.2,Natural ,Natural ,Normal,665531,17,33,54,<50,<0.5
BH12,BH12_0.5,0.5,Natural ,Natural ,Normal,665531,8.3,29,19,,
BH12,BH13_0.4,0.4,Natural ,Natural ,Normal,665531,6.5,16,15,,
BH12,BH15_0.5,0.5,Natural ,Natural ,Normal,665531,7.3,49,67,,
BH12,BH17_0.4,0.4,Natural ,Natural ,Normal,665531,2.3,57,24,,
BH12,BH18_0.5,0.5,Natural ,Natural ,Normal,665531,4.9,17,11,,
BH12,BH19_0.6,0.6,Natural ,Natural ,Normal,665531,23,55,120,,
BH102-0.5,BH102-0.5,0.5,Natural ,Natural ,Normal,EM2216176,<5,6,<5,<50,<0.5
BH104-1.0,BH104-1.0,1,Natural ,Natural ,Normal,EM2216176,<5,20,7,<50,<0.5
BH105-0.8,BH105-0.8,0.8,Natural ,Natural ,Normal,EM2216176,42,24,20,<50,<0.5
GW04,GW04_0.4-0.5,0.45,Natural ,Natural ,Normal,1159928,4.1,24,9.6,<50,<0.5
GW04,GW04_1.9-2.0,1.95,Natural ,Natural ,Normal,1159928,9.5,15,6.4,<50,<0.5
GW04,GW05_0.7-0.8,0.75,Natural ,Natural ,Normal,1159928,6.9,34,12,<50,<0.5
GW06,GW06_2.0-2.1,2.05,Natural ,Natural ,Normal,1159928,3.2,8.4,<5,<50,<0.5
GW08,GW08_0.9-1.0,0.95,Natural ,Natural ,Normal,1159928,13,8.7,5.4,<50,<0.5
GW09,GW09_0.4-0.5,0.45,Natural ,Natural ,Normal,1159928,<2,<5,<5,<50,<0.5
GW09,GW09_0.9-1.0,0.95,Natural ,Natural ,Normal,1159928,<2,12,5.3,<50,<0.5
GW10,GW10_0.9-1.0,0.95,Natural ,Natural ,Normal,1159928,2.3,40,17,<50,<0.5
GW10,QC01,0.9,Natural ,Natural ,Field_D,1162412,9,11,15,<50,<0.5
MW02_B,MW02_B_0.9-1.0,0.95,Natural ,Natural ,Normal,1159928,3.1,47,16,<50,<0.5
MW03-1.0,MW03-1.0,1,Natural ,Natural ,Normal,EM2216748,<5,12,16,<50,<0.5
MW03-1.0,TBH01_0.5,0.5,Natural ,Natural ,Normal,665531,4.1,17,13,,
MW03-1.0,TBH02_0.5,0.5,Natural ,Natural ,Normal,665531,6.4,53,29,<50,<0.5
TBH06,TBH06_0.2,0.2,Natural ,Natural ,Normal,665531,2.7,10,180,990,<0.5
TBH07,TBH07_0.2,0.2,Natural ,Natural ,Normal,665531,6.3,16,13,<50,<0.5
TBH08,TBH08_0.2,0.2,Natural ,Natural ,Normal,665531,11,27,12,<50,<0.5
TBH08,TBH09_0.5,0.5,Natural ,Natural ,Normal,665531,4.3,48,26,,
TP01,TP01-0.1,0.1,Reworked Natural ,Natural ,Normal,1149272,8.6,8.8,7.7,<50,<0.5
TP02,TP02-0.1,0.1,Reworked Natural ,Natural ,Normal,1149272,8.1,20,12,<50,<0.5
TP03,TP03-0.1,0.1,Reworked Natural ,Natural ,Normal,1149272,4,11,53,<50,<0.5
TP04,TP04-0.1,0.1,Reworked Natural ,Natural ,Normal,1149272,13,14,50,<50,<0.5
TP06,TP06_0.1,0.1,Reworked Natural ,Natural ,Normal,1152389,10,7.4,8.6,<50,<0.5
TP07,TP07-0.1,0.1,Reworked Natural ,Natural ,Normal,1149272,9,11,33,<50,<0.5
TP08,TP08_0.1,0.1,Reworked Natural ,Natural ,Normal,1149820,6.3,10,8,<50,<0.5
TP09,TP09_0.1,0.1,Reworked Natural ,Natural ,Normal,1149820,5.4,12,27,56,<0.5
TP11,TP11-0.1,0.1,Reworked Natural ,Natural ,Normal,1149272,9.8,8.7,9.9,<50,<0.5
TP12,TP12_0.1,0.1,Reworked Natural ,Natural ,Normal,1149820,5.7,6.4,<5,<50,<0.5
